nigeria,d
egipto,a
senegal,h 
marruecos,b 
tunez,g
brasil,e
uruguay,a
argentina,d
colombia,h
peru,c
iran,b
japon,h
corea del sur,f
arabia saudita,a
australia,c
mexico,f
costa rica,e
panama,g
alemania, f
inglaterra,g
belgica,g
españa,b
polonia,h
islandia,d
serbia,e
francia,c
portugal,b
croacia,d
suiza,e
suecia,f
dinamarca,c
rusia,a
